KKR,vs,MI
Ball No,Runs,General Commentary,Bowler,Batsman,Fielder
19.5,1,"McClenaghan to Pandey, 1 run, yorker outside off stump, opens the face and runs it to third man",McClenaghan,Pandey
19.4,4,"McClenaghan to Pandey, FOUR, this time he's successfull! Low full toss, wide outside off, opens the face and taps it through the slip region to find the third man boundary",McClenaghan,Pandey
19.3,0,"McClenaghan to Pandey, no run, yorker, full and wide outside off, can't get bat on this. Wanted to pick third man but is beaten",McClenaghan,Pandey
19.2,6,"McClenaghan to Pandey, SIX, misses the yorker again. Errs on the shorter side this time, so it's overpitched at middle stump. Pandey is standing deep. Gets under it and launches it flat over the bowler still a free hit",McClenaghan,Pandey
19.2,1w,"McClenaghan to Pandey, 1 wide, low full toss at his legs. He's standing outside leg stump and moves his leg away to let it go past him. Umpire calls wide. Bowler unimpressed. Rightly so.",McClenaghan,Pandey
19.1,6,"McClenaghan to Pandey, SIX, length ball at off stump, sits up nicely for him and he pulls this on the up over deep midwicket. This length has become predictable for Pandey MK Pandey SL Malinga SP Narine JJ Bumrah",McClenaghan,Pandey
18.6,1,"Malinga to Pandey, 1 run, slower ball, short and wide, tapped to short third man",Malinga,Pandey
18.5,6,"Malinga to Pandey, SIX, shooooot. Waits for the slower ball. It arrives at a full length, off stump line. Front foot out of the way and puts deep midwicket on ball retrieving duty",Malinga,Pandey
18.4,2,"Malinga to Pandey, 2 runs, full at leg stump, whips it nicely, wide of deep midwicket who fumbles and allows a second",Malinga,Pandey
18.3,1,"Malinga to Narine, 1 run, slower ball, good length outside off, slices it uppishly to find sweeper cover",Malinga,Narine
18.2,1,"Malinga to Pandey, 1 run, slower ball, good length at off stump, walks into the shot as he whips this wide of long-on on the up",Malinga,Pandey
18.1,W,"Malinga to Woakes, OUT, slower length at middle stump, gets under it but can't generate power. Finds Pollard as he tries to slot this over long-on on the up CR Woakes JJ Bumrah MK Pandey SL Malinga",Malinga,Woakes
17.6,1,"Bumrah to Woakes, 1 run, yorker at off stump, brings the bat down hard at this. Chops it to short third man again, who takes a crowd-catch and holds on to it this time",Bumrah,Woakes
17.5,2,"Bumrah to Woakes, 2 runs, full toss at off stump, opens the face to find the square boundary on the off side. Short third man does phenomenally to dive to his right to save a four. Then throws unnecessarily to concede an overthrow to deep midwicet. McCleneghan there",Bumrah,Woakes
17.4,1,"Bumrah to Pandey, 1 run, slower ball, low full toss at off stump. Picks it and absolutely nails the slog. Finds deep midwicket. That's fifty for him",Bumrah,Pandey
17.3,1,"Bumrah to Woakes, 1 run, yorker at off stump, tapped into the off side",Bumrah,Woakes
17.2,2,"Bumrah to Woakes, 2 runs, he's not picking the slower ball at either end. This one is full at off stump, he's through the drive early, trying to thread it through the off side. Goes off the inside half to deep midwicket",Bumrah,Woakes
17.1,1,"Bumrah to Pandey, 1 run, slower ball, full at off stump, catches the inside edge as he swipes across the line. Malinga misfields at short fine to his left, but they'd already run through MK Pandey SL Malinga CR Woakes JJ Bumrah",Bumrah,Pandey
16.6,1,"Malinga to Pandey, 1 run, slower length ball at middle stump, pushes it to midwicket's right and keeps the strike",Malinga,Pandey
16.5,1,"Malinga to Woakes, 1 run, yorker tailing in at leg stump, squeezed down to long-on",Malinga,Woakes
16.4,2,"Malinga to Woakes, 2 runs, slower ball at middle stump, not in control as he looks to work this into the leg side, but only manages to chip it over the umpire",Malinga,Woakes
16.3,0,"Malinga to Woakes, no run, slower ball, overpitched at middle stump, shapes to drive this, is forced to push at it at the last moment. Thick inside edge to midwicket",Malinga,Woakes
16.2,1,"Malinga to Pandey, 1 run, Pandey nearly runs himself out next ball. Slower ball at leg stump, good length. He taps it to Harbhajan at midwicket and takes him on. Was nowhere near making the crease at the non-strikers, but Harbhajan misses",Malinga,Pandey
16.1,W,"Malinga to Yadav, OUT, slower ball, full at leg stump, he wants to whip this wide of long-on but the pace throws him off. He lobs it straight to Pollard, who barely has to move at long-on MK Pandey JJ Bumrah SA Yadav Harbhajan Singh",Malinga,Yadav
15.6,4,"Bumrah to Pandey, FOUR, lovely. Good length, angled in at off stump, opens the face and blazes it past point",Bumrah,Pandey
15.5,6,"Bumrah to Pandey, SIX, misses the yorker marginally, and that's enough for Pandey to clear his front leg and lift it over the long-on boundary",Bumrah,Pandey
15.4,1,"Bumrah to Yadav, 1 run, follows the batsman as he moves down the leg side, back of a length, forces him to push on the up to long-on Abad: ""I Heard these days narine can strike ball very well and I guess he deserves a promotion to showcase his new talent. what do you think?"" --- I don't see him coming ahead of Woakes....",Bumrah,Yadav
15.3,1,"Bumrah to Pandey, 1 run, back of a length slower ball at off stump, backs away and slices it to third man",Bumrah,Pandey
15.2,1,"Bumrah to Yadav, 1 run, slower ball, back of a length at leg stump, punched to long-on off the back foot",Bumrah,Yadav
15.1,1,"Bumrah to Pandey, 1 run, full at off stump, drags this past square leg off the inside half of the bat SA Yadav Harbhajan Singh MK Pandey MJ McClenaghan",Bumrah,Pandey
14.6,4,"Harbhajan Singh to Yadav, FOUR, superb from Yadav. Flat at a good length outside off, barely moves his feet for this. Exposes the stumps and chops it past short third man",Harbhajan Singh,Yadav
14.5,1,"Harbhajan Singh to Pandey, 1 run, good length outside off, dabbed to short third man",Harbhajan Singh,Pandey
14.4,1,"Harbhajan Singh to Yadav, 1 run, fired flat at leg stump, good length, pushes it past the bowler's right. He gets across but loses the ball as he falls down and they can take a single",Harbhajan Singh,Yadav
14.3,0,"Harbhajan Singh to Yadav, no run, top spinner, good length at off stump, pushed back down the pitch",Harbhajan Singh,Yadav
14.2,4,"Harbhajan Singh to Yadav, FOUR, what a shot. Flat at a length outside off, it's like he's playing a pacer against the new ball - half a stride and drives it on the up to beat long-off to his left",Harbhajan Singh,Yadav
14.1,0,"Harbhajan Singh to Yadav, no run, back of a length at off stump, punched straight to extra cover off the back foot MK Pandey MJ McClenaghan SA Yadav Harbhajan Singh",Harbhajan Singh,Yadav
13.6,6,"McClenaghan to Pandey, SIX, keeps at that line and length, short and wide outside off, this time Pandey doesn't try to hit it hard. Anticipates the bounce, and uses it to ramp it over third man",McClenaghan,Pandey
13.5,0,"McClenaghan to Pandey, no run, short and wide outside off stump, climbs over his attemped cut shot and beats him",McClenaghan,Pandey
13.4,1,"McClenaghan to Yadav, 1 run, slower ball at off stump, good length, hits it on the up and on the bounce to Pollard at long-on",McClenaghan,Yadav
13.3,0,"McClenaghan to Yadav, no run, short at middle stump, skips outside leg stump to ramp it to the third man boundary, beaten",McClenaghan,Yadav
13.2,1,"McClenaghan to Pandey, 1 run, short and wide outside off stump, backs away and slaps it to sweeper cover",McClenaghan,Pandey
13.1,1,"McClenaghan to Yadav, 1 run, full at leg stump, driven with the full face to long-on Mitch, around the wicket SA Yadav Harbhajan Singh MK Pandey KH Pandya",McClenaghan,Yadav
12.6,1,"Harbhajan Singh to Yadav, 1 run, short and wide outside off, late cut, can't get it past short third man",Harbhajan Singh,Yadav
12.5,1,"Harbhajan Singh to Pandey, 1 run, flat and short at off stump again, hurries him on the pull, he can't connect, rolls slowly to midwicket",Harbhajan Singh,Pandey
12.4,1,"Harbhajan Singh to Yadav, 1 run, back of a length at off stump, punched off the back foot past the bowler",Harbhajan Singh,Yadav
12.3,1,"Harbhajan Singh to Pandey, 1 run, fires it fast, short at off stump, pulls it to midwicket",Harbhajan Singh,Pandey
12.2,4,"Harbhajan Singh to Pandey, FOUR, top spinner, short and wide, hangs back and opens the face to get this past short third man. Skillful.",Harbhajan Singh,Pandey
12.1,1,"Harbhajan Singh to Yadav, 1 run, good length, fired in at leg stump, pushed to long leg SA Yadav KH Pandya MK Pandey Harbhajan Singh",Harbhajan Singh,Yadav
11.6,1,"KH Pandya to Yadav, 1 run, back of a length at off stump, goes deep in the crease and whips it to deep midwicket off the back foot",KH Pandya,Yadav
11.5,1,"KH Pandya to Pandey, 1 run, back of a length outside off, finds point with the cut",KH Pandya,Pandey
11.4,W,"KH Pandya to Pathan, OUT, beautiful bowling. Loops it up again, good length at off. Pathan has had enough scratching around. Bounces down the track, doesn't get to the pitch and slices this to long-off's left, and it's brother Hardik under it again YK Pathan c HH Pandya b KH Pandya 6 (15m 11b 0x4 0x6) SR: 54.54",KH Pandya,Pathan,HH Pandya
11.3,1,"KH Pandya to Pandey, 1 run, back of a length at off stump, back foot punch to sweeper",KH Pandya,Pandey
11.2,4,"KH Pandya to Pandey, FOUR, full and wide outside off, this time he throws his hands at it unceremoniously, gets an outside edge again, and it's four this time",KH Pandya,Pandey
11.1,0,"KH Pandya to Pandey, no run, dropped. This is looped beautifully at middle stump, draws him forward, makes him poke, draws the edge. Basically he's done everything perfectly as a left-arm spinner. But that took off rapidly and Parthiv can't hold on We haven't had a boundary in 34 balls YK Pathan Harbhajan Singh MK Pandey KH Pandya",KH Pandya,Pandey
10.6,0,"Harbhajan Singh to Pathan, no run, good length at off stump, defended back to the bowler",Harbhajan Singh,Pathan
10.5,1,"Harbhajan Singh to Pandey, 1 run, flat full toss at off stump, clears the front leg, slogs it past Rohit at midwicket who might have got a hand on it, long-on doesn't have to travel too fast to his right",Harbhajan Singh,Pandey
10.4,1,"Harbhajan Singh to Pathan, 1 run, short and wide outside off stump, back foot punch to find sweeper Harbhajan took only 8 wickets at 40.87 in the middle overs (7-15) last IPL season, economy of 7.78",Harbhajan Singh,Pathan
10.3,1,"Harbhajan Singh to Pandey, 1 run, short and wide, finds sweeper with the cut",Harbhajan Singh,Pandey
10.2,0,"Harbhajan Singh to Pandey, no run, good length at off stump, closes the face too early and the leading edge teases extra cover and the bowler, before landing safely in front of both. Buttler",Harbhajan Singh,Pandey
10.1,0,"Harbhajan Singh to Pandey, no run, good length outside off, arm ball, slides through quickly under his attempted cut and beats him MK Pandey KH Pandya YK Pathan Harbhajan Singh",Harbhajan Singh,Pandey
9.6,1,"KH Pandya to Pandey, 1 run, short at middle stump, straightens and forces him to swivel as he pulls it to deep square",KH Pandya,Pandey
9.5,1,"KH Pandya to Pathan, 1 run, good length at off stump, goes forward and drops it into the off side",KH Pandya,Pathan
9.4,1,"KH Pandya to Pandey, 1 run, tossed up at middle stump, steps out and jams it out to long-on",KH Pandya,Pandey
9.3,1,"KH Pandya to Pathan, 1 run, good length outside off, one-handed sweep again, this time long leg is in place and he finds him",KH Pandya,Pathan
9.2,1,"KH Pandya to Pandey, 1 run, tossed up outside off, steps out, gets to the pitch but only after stretching wide. Can only hit it to long-off",KH Pandya,Pandey
9.1,2,"KH Pandya to Pandey, 2 runs, back of a length outside off, waits late and cuts it past point who gets a hand to slow it down as sweeper approaches it MK Pandey Harbhajan Singh YK Pathan JJ Bumrah",KH Pandya,Pandey
8.6,1,"Harbhajan Singh to Pandey, 1 run, good length at off stump, punched off the back foot to midwicket's right Manish Pandey v Harbhajan in the IPL - 53 runs off 53 balls, 4 dismissals",Harbhajan Singh,Pandey
8.5,1,"Harbhajan Singh to Pathan, 1 run, back of a length at off stump, chopped to deep point slip goes out",Harbhajan Singh,Pathan
8.4,2,"Harbhajan Singh to Pathan, 2 runs, good length at off stump, one hands comes off the bat as he sweeps this to deep square leg's right, but that's Krunal there and he runs hard and puts in a dive at the boundary line",Harbhajan Singh,Pathan
8.3,0,"Harbhajan Singh to Pathan, no run, good length at off stump, forward defence back down the",Harbhajan Singh,Pathan
8.2,1,"Harbhajan Singh to Pandey, 1 run, back of a length at middle stump, back foot drive to deep square",Harbhajan Singh,Pandey
8.1,0,"Harbhajan Singh to Pandey, no run, good length at off stump, tucked off the back foot, straight to midwicket Bhajji YK Pathan JJ Bumrah MK Pandey KH Pandya",Harbhajan Singh,Pandey
7.6,0,"Bumrah to Pathan, no run, full at off stump, defended solidly off the front foot, straight to mid-off",Bumrah,Pathan
7.5,0,"Bumrah to Pathan, no run, good length outside off stump, tapped into the off side",Bumrah,Pathan
7.4,0,"Bumrah to Pathan, no run, back of a length in the corridor, defended into the off side Pathan. Wide slip in place",Bumrah,Pathan
7.3,W,"Bumrah to Lynn, OUT, plumb in front. Good length, this one is fast and straight. Lynn shuffles across and tries to lift this square on the leg side. It's an ugly swipe in the end, with eyes off the ball. It strikes him just above the flap on the back leg which is in front of middle stump. Correction: It hit the knee roll on the front leg CA Lynn lbw b Bumrah 32 (44m 24b 3x4 1x6) SR: 133.33",Bumrah,Lynn
7.2,2,"Bumrah to Lynn, 2 runs, slower length ball at off again, this time he flat-bats it past the bowler and picks up two as long-on and long-off converge",Bumrah,Lynn
7.1,0,"Bumrah to Lynn, no run, slower ball at a length outside off, flat-batted on the up to extra cover CA Lynn KH Pandya MK Pandey MJ McClenaghan",Bumrah,Lynn
6.6,1,"KH Pandya to Lynn, 1 run, full at leg stump, flicked straight to short fine",KH Pandya,Lynn
6.5,1,"KH Pandya to Pandey, 1 run, full at leg stump, driven to long-on",KH Pandya,Pandey
6.4,2,"KH Pandya to Pandey, 2 runs, good length at off stump, pushes it wide of cover this time and he slides poorly - above the ball - and allows a second",KH Pandya,Pandey
6.3,0,"KH Pandya to Pandey, no run, good length at off stump, pushed to cover on the up",KH Pandya,Pandey
6.2,1,"KH Pandya to Lynn, 1 run, good length at leg stump, driven to long-on off the back foot",KH Pandya,Lynn
6.1,1,"KH Pandya to Pandey, 1 run, full at off stump, opens his stance and pushes it to sweeper cover CA Lynn MJ McClenaghan MK Pandey KH Pandya All wides and no-balls have been bowled at Lynn",KH Pandya,Pandey
5.6,2,"McClenaghan to Lynn, 2 runs, overpitched at leg stump, clears the front leg and hammers this flat past the bowler, it bounces once and is headed to the boundary but a wild Pollard appears out of nowhere - diving low to the left at long-on, one-handed, takes it on the bounce - and that's only two",McClenaghan,Lynn
5.6,1w,"McClenaghan to Lynn, 1 wide, good length, slower ball, this time down the leg side",McClenaghan,Lynn
5.6,1w,"McClenaghan to Lynn, 1 wide, attempted bouncer, but this one sits in the pitch and flies wide, feebly, past the wide marker",McClenaghan,Lynn
5.5,1,"McClenaghan to Pandey, 1 run, good length at leg stump, tucked off his pads to short fine's right",McClenaghan,Pandey
5.4,0,"McClenaghan to Pandey, no run, back of a length in the corridor, opens the face and slices it on the up, Rana takes it above his head at point on the bounce, one-handed",McClenaghan,Pandey
5.3,1,"McClenaghan to Lynn, 1 run, slower ball, back of a length at middle stump, stands tall and tucks it to deep midwicket",McClenaghan,Lynn
5.2,4,"McClenaghan to Lynn, FOUR, back of a length, outside off stump, enough room for him to butcher this on the up past extra cover over the wicket",McClenaghan,Lynn
5.1,1lb,"McClenaghan to Pandey, 1 leg bye, back of a length, angled in at the legs and catches the thigh guard, through to short fine as he misses out on the glance CA Lynn KH Pandya MK Pandey SL Malinga",McClenaghan,Pandey
4.6,0,"KH Pandya to Lynn, no run, back of a length outside off, chopped straight to point",KH Pandya,Lynn
4.5,W,"KH Pandya to Uthappa, OUT, and he's gotta go back! Good length at off stump, he doesn't poke at this because slip has come in. Goes for the slog sweep instead. Not to the pitch of this, slices it at a nice height for Hardik at deep midwicket and the Pandya household can't be prouder RV Uthappa c HH Pandya b KH Pandya 4 (3m 3b 1x4 0x6) SR: 133.33 slip comes in",KH Pandya,Uthappa,HH Pandya
4.4,4,"KH Pandya to Uthappa, FOUR, good length, arm ball at off stump. Uthappa offers an angled bat as he pokes at this off the front foot. Thick outside edge runs away to the third man boundary",KH Pandya,Uthappa
4.3,0,"KH Pandya to Uthappa, no run, good length at off stump, forward defence",KH Pandya,Uthappa
4.2,W,"KH Pandya to Gambhir, OUT, good length at leg stump, this time he stays put, gets on one knee and tries to lift this over square leg with a sweep. McCleneghan times his jump nicely and holds on to it G Gambhir c McClenaghan b KH Pandya 19 (24m 13b 3x4 0x6) SR: 146.15",KH Pandya,Gambhir,McClenaghan
4.1,0,"KH Pandya to Gambhir, no run, good length at leg stump, backs way but cramped, pushes to square leg Here is Krunal G Gambhir SL Malinga CA Lynn JJ Bumrah",KH Pandya,Gambhir
3.6,1,"Malinga to Gambhir, 1 run, good length at off stump, dabs it late to third man off the back foot",Malinga,Gambhir
3.5,1,"Malinga to Lynn, 1 run, back of a length at middle stump, mistimed pull to deep midwicket",Malinga,Lynn
3.4,6,"Malinga to Lynn, SIX, he likes this length. Just short of a good length, slower ball that he's expecting. Stands tall, waits for it and slaps it 91 metres into the stands at the square leg boundary",Malinga,Lynn
3.3,0,"Malinga to Lynn, no run, slower ball, short and wide, bludgeoned straight to cover point on the up",Malinga,Lynn
3.2,1,"Malinga to Gambhir, 1 run, good length, swinging in at middle stump, watches it closely and taps it late to short fine leg",Malinga,Gambhir
3.1,1,"Malinga to Lynn, 1 run, and changes length. Good length, slower ball at off stump. Lynn is through the slog early, gets it off the bottom to square leg who has a shy and misses at the non-striker's Malinga changes ends G Gambhir JJ Bumrah CA Lynn MJ McClenaghan",Malinga,Lynn
2.6,4,"Bumrah to Gambhir, FOUR, length ball in the corridor, pokes at this to try and dab a single through third man, gets an outside edge that beats him instead",Bumrah,Gambhir
2.5,4,"Bumrah to Gambhir, FOUR, backs away, expects the yorker again, is rewarded with a low full toss outside off that he slices past a diving point fielder",Bumrah,Gambhir
2.5,2nb,"Bumrah to Lynn, (no ball) 1 run, another no-ball, this one for height. Misses the yorker by a huge margin this time. It's at off stump, above waist height and just fast enough for him not to wallop that out of the stadium. It lands harmlessly in the off side infield but a free hit for Gambhir again",Bumrah,Lynn
2.4,1,"Bumrah to Gambhir, 1 run, good length at middle stump, heaves across the line, bat turns and the ball rolls to long leg",Bumrah,Gambhir
2.3,2,"Bumrah to Gambhir, 2 runs, yorker at off stump, he's deep in his crease and gets an extra inch to whip that to Buttler's right at deep midwicket",Bumrah,Gambhir
2.3,2nb,"Bumrah to Lynn, (no ball) 1 run, good length, angled in at off stump, goes for the big heave and gets a thick inside edge to short fine leg. Overstepped, so Gambhir has a free hit next ball",Bumrah,Lynn
2.2,0,"Bumrah to Lynn, no run, another yorker outside off stump, this is a slower ball. He gets bat, but can only dig it out along the pitch and back to the bowler",Bumrah,Lynn
2.1,0,"Bumrah to Lynn, no run, yorker, just outside off stump, beats him as he tries to chop this square on the off side Bumrah G Gambhir MJ McClenaghan CA Lynn SL Malinga",Bumrah,Lynn
1.6,4,"McClenaghan to Gambhir, FOUR, good length outside off stump, clears the front leg and slaps this through cover point",McClenaghan,Gambhir
1.5,0,"McClenaghan to Gambhir, no run, good length, at off stump, back foot defence into the point region",McClenaghan,Gambhir
1.4,1,"McClenaghan to Lynn, 1 run, slower bouncer, angled across off stump, drags it to deep midwicket with a pull shot",McClenaghan,Lynn
1.3,0,"McClenaghan to Lynn, no run, loud appeal in excitement of beating the batsman. Good length, pitching outside leg and goes straight through and under his attempted slog. Well away from the bat but bowler and keeper appeal",McClenaghan,Lynn
1.2,4,"McClenaghan to Lynn, FOUR, short and down the leg side, he's backing away, but has enough time to pull this past short fine leg",McClenaghan,Lynn
1.1,0,"McClenaghan to Lynn, no run, back of a length, angled across off stump, left alone CA Lynn SL Malinga",McClenaghan,Lynn
0.6,1,"Malinga to Lynn, 1 run, a yorker at middle stump, clears the front leg and gets it sweetly off the middle as he slices this to cover",Malinga,Lynn
0.5,4,"Malinga to Lynn, FOUR, misses the length this time. Slower ball, floated full outside off, puts in a big stride and clubs it through his partner's legs and past mid-on",Malinga,Lynn
0.5,1w,"Malinga to Lynn, 1 wide, looks for the slower ball yorker, misses his line again, down the leg side and through to Parthiv",Malinga,Lynn
0.4,1,"Malinga to Gambhir, 1 run, in the blockhole outside off, slices this to Bumrah at third man who fumbles, but won't pay a price for it",Malinga,Gambhir
0.3,0,"Malinga to Gambhir, no run, overpitched, swinging in at off stump, driven firmly to mid-on",Malinga,Gambhir
0.2,1,"Malinga to Lynn, 1 run, slight movement away, and another yorker. This one is in the corridor, and he digs it out to mid-off",Malinga,Lynn
0.2,1w,"Malinga to Lynn, 1 wide, goes for the yorker at leg stump, no movement this time and this goes down the leg A slip for Lynn",Malinga,Lynn
0.1,1,"Malinga to Gambhir, 1 run, full, fast, swinging in at yorker length, clears the front leg and jams it into the off side MK Pandey MJ McClenaghan SL Malinga",Malinga,Gambhir
